lower_desig,upper_desig,log_gf
1|2G5),3H4p__y4G3*,-3.58673
1|2G5),3H4p__y4G3*,-3.28795
1|2H3),3H4p__y4G3*,-3.07912
2|3F4)2F,3H4p__y4G3*,-2.55995
2|3F4)2F,3H4p__y4G3*,-2.17496
2|3H4)2H,3H4p__y4G3*,-3.01714
2|3G4)4G,3H4p__y4G3*,-2.67347
2|3G4)4G,3H4p__y4G3*,-1.13850
2|3G4)4G,3H4p__y4G3*,-3.05050
1|4F3),3H4p__y4G3*,-.48731
1|4F3),3H4p__y4G3*,-2.07256
1|4F3),3H4p__y4G3*,-1.61739
1|2F3),3H4p__y4G3*,-1.29595
1|2F3),3H4p__y4G3*,-3.65188
1|2D5),3H4p__y4G3*,-1.53953
2|3F4)4F,3H4p__y4G3*,-1.30821
2|3F4)4F,3H4p__y4G3*,-.96860
2|3F4)4F,3H4p__y4G3*,-.39098
2|3P4)4P,3H4p__y4G3*,-2.65334
2|3H4)4H,3H4p__y4G3*,.03113
2|3H4)4H,3H4p__y4G3*,-.90994
1|4D5),3H4p__y4G3*,-3.75769
1|4D5),3H4p__y4G3*,-3.34015
1|4P3),3H4p__y4G3*,-4.79192
1|4G5),3H4p__y4G3*,-.47776
1|4G5),3H4p__y4G3*,-.41882
1|4G5),3H4p__y4G3*,-1.41295
2|5D4)4D,3H4p__y4G3*,-2.46773
2|5D4)4D,3H4p__y4G3*,-1.71019
2|5D4)6D,3H4p__y4G3*,-6.33813
2|5D4)6D,3H4p__y4G3*,-5.26681
3|4P3)4P,a3F4p_z2D2*,-6.33095
1|2P3),a3F4p_z2D2*,-3.34124
2|3F2)2F,a3F4p_z2D2*,-4.50192
2|3F2)2F,a3F4p_z2D2*,-4.22424
2|3P2)2P,a3F4p_z2D2*,-4.09120
2|3P2)4P,a3F4p_z2D2*,-5.33873
2|3P2)4P,a3F4p_z2D2*,-5.80343
2|3F2)4F,a3F4p_z2D2*,-3.27140
2|3F2)4F,a3F4p_z2D2*,-2.66184
2|3F2)4F,a3F4p_z2D2*,-3.96579
3|4F3)4F,a3F4p_z2D2*,-3.53874
3|4F3)4F,a3F4p_z2D2*,-2.77483
3|4F3)4F,a3F4p_z2D2*,-3.23587
1|2G3),a3F4p_z2D2*,-4.72510
2|1F4)2F,a3F4p_z2D2*,-3.74027
2|1F4)2F,a3F4p_z2D2*,-3.42146
1|2D3),a3F4p_z2D2*,-3.51060
1|2D3),a3F4p_z2D2*,-2.77743
2|1D4)2D,a3F4p_z2D2*,-2.34578
2|1D4)2D,a3F4p_z2D2*,-4.86738
2|3D4)2D,a3F4p_z2D2*,-2.81885
2|3D4)2D,a3F4p_z2D2*,-1.58023
1|2F5),a3F4p_z2D2*,-1.63550
1|2F5),a3F4p_z2D2*,-2.85783
1|2F5),a3F4p_z2D2*,-1.90762
2|3G4)2G,a3F4p_z2D2*,-3.45345
2|3D4)4D,a3F4p_z2D2*,-2.22714
2|3D4)4D,a3F4p_z2D2*,-2.65660
2|3D4)4D,a3F4p_z2D2*,-3.79771
1|2G5),a3F4p_z2D2*,-4.01107
2|3F4)2F,a3F4p_z2D2*,-.83760
2|3F4)2F,a3F4p_z2D2*,-2.29869
2|3P4)2P,a3F4p_z2D2*,-1.14149
2|3G4)4G,a3F4p_z2D2*,-1.36085
2|3G4)4G,a3F4p_z2D2*,-2.18928
1|4F3),a3F4p_z2D2*,-.67696
1|4F3),a3F4p_z2D2*,-1.48570
1|4F3),a3F4p_z2D2*,-1.33384
1|2F3),a3F4p_z2D2*,-1.73195
1|2F3),a3F4p_z2D2*,-3.56582
1|2D5),a3F4p_z2D2*,-2.41834
1|2D5),a3F4p_z2D2*,-2.50995
2|3F4)4F,a3F4p_z2D2*,-.69436
2|3F4)4F,a3F4p_z2D2*,-.21593
2|3F4)4F,a3F4p_z2D2*,-.81742
2|3P4)4P,a3F4p_z2D2*,-1.92355
2|3P4)4P,a3F4p_z2D2*,-2.14572
2|3H4)4H,a3F4p_z2D2*,-1.80493
1|4D5),a3F4p_z2D2*,-2.87751
1|4D5),a3F4p_z2D2*,-2.24489
1|4D5),a3F4p_z2D2*,-3.01332
1|4P3),a3F4p_z2D2*,-2.86028
1|4P3),a3F4p_z2D2*,-3.20290
1|4G5),a3F4p_z2D2*,-.64398
1|4G5),a3F4p_z2D2*,-1.30592
2|5D4)4D,a3F4p_z2D2*,-5.11533
2|5D4)4D,a3F4p_z2D2*,-1.76141
2|5D4)4D,a3F4p_z2D2*,-1.36529
2|5D4)6D,a3F4p_z2D2*,-5.85302
2|5D4)6D,a3F4p_z2D2*,-5.17590
3|4P3)4P,a3F4p_z2D1*,-6.96675
1|2P3),a3F4p_z2D1*,-3.45076
1|2P3),a3F4p_z2D1*,-5.79166
2|3F2)2F,a3F4p_z2D1*,-4.55826
2|3P2)2P,a3F4p_z2D1*,-4.72246
2|3P2)2P,a3F4p_z2D1*,-3.99751
2|3P2)4P,a3F4p_z2D1*,-5.51014
2|3P2)4P,a3F4p_z2D1*,-5.02568
2|3P2)4P,a3F4p_z2D1*,-5.10207
2|3F2)4F,a3F4p_z2D1*,-3.37432
2|3F2)4F,a3F4p_z2D1*,-2.85059
3|4F3)4F,a3F4p_z2D1*,-3.44800
3|4F3)4F,a3F4p_z2D1*,-2.90174
2|1F4)2F,a3F4p_z2D1*,-3.48244
1|2D3),a3F4p_z2D1*,-2.90469
1|2D3),a3F4p_z2D1*,-4.93029
2|1D4)2D,a3F4p_z2D1*,-4.57263
2|1D4)2D,a3F4p_z2D1*,-2.67169
1|2S5),a3F4p_z2D1*,-3.44970
2|3D4)2D,a3F4p_z2D1*,-1.74606
2|3D4)2D,a3F4p_z2D1*,-2.87646
2|1S4)2S,a3F4p_z2D1*,-2.93724
1|2F5),a3F4p_z2D1*,-1.61584
2|3D4)4D,a3F4p_z2D1*,-2.44145
2|3D4)4D,a3F4p_z2D1*,-2.94420
2|3D4)4D,a3F4p_z2D1*,-3.96779
2|3F4)2F,a3F4p_z2D1*,-1.06462
2|3P4)2P,a3F4p_z2D1*,-1.02045
2|3P4)2P,a3F4p_z2D1*,-1.72309
2|3G4)4G,a3F4p_z2D1*,-1.74113
1|4F3),a3F4p_z2D1*,-1.41872
1|4F3),a3F4p_z2D1*,-.79235
1|2F3),a3F4p_z2D1*,-3.35801
1|2D5),a3F4p_z2D1*,-1.77980
1|2D5),a3F4p_z2D1*,-4.11593
2|3F4)4F,a3F4p_z2D1*,-.94372
2|3F4)4F,a3F4p_z2D1*,-.30213
2|3P4)4P,a3F4p_z2D1*,-3.09774
2|3P4)4P,a3F4p_z2D1*,-2.60171
2|3P4)4P,a3F4p_z2D1*,-2.68062
1|4D5),a3F4p_z2D1*,-3.73058
1|4D5),a3F4p_z2D1*,-2.87736
1|4D5),a3F4p_z2D1*,-2.51807
1|4P3),a3F4p_z2D1*,-3.48331
1|4P3),a3F4p_z2D1*,-3.11399
1|4P3),a3F4p_z2D1*,-2.63880
1|4G5),a3F4p_z2D1*,-.75512
2|5D4)4D,a3F4p_z2D1*,-3.26330
2|5D4)4D,a3F4p_z2D1*,-1.95053
2|5D4)4D,a3F4p_z2D1*,-1.58834
2|5D4)6D,a3F4p_z2D1*,-5.93756
2|5D4)6D,a3F4p_z2D1*,-6.06468
