waveumber,lower_key,upper_key,probability
9580.1900,2|3F2)4F,a3P4p_y4D2*,0.0004
10882.5300,3|4F3)4F,a3P4p_y4D2*,0.0091
11177.7200,3|4F3)4F,a3P4p_y4D2*,0.0016
11397.4600,3|4F3)4F,a3P4p_y4D2*,0.0000
13761.1900,2|1F4)2F,a3P4p_y4D2*,0.0000
13781.5700,2|1F4)2F,a3P4p_y4D2*,0.0002
17076.2800,1|2D3),a3P4p_y4D2*,0.0001
17094.3700,1|2D3),a3P4p_y4D2*,0.0002
18718.2300,2|1D4)2D,a3P4p_y4D2*,0.0007
18779.4400,2|1D4)2D,a3P4p_y4D2*,0.0001
21462.1900,2|3D4)2D,a3P4p_y4D2*,0.0007
21550.8200,2|3D4)2D,a3P4p_y4D2*,0.0035
24571.7400,1|2F5),a3P4p_y4D2*,0.0054
24706.7200,1|2F5),a3P4p_y4D2*,0.0008
24765.0600,1|2F5),a3P4p_y4D2*,0.0003
25939.8800,2|3G4)2G,a3P4p_y4D2*,0.0054
26086.3800,2|3D4)4D,a3P4p_y4D2*,0.0447
26133.9500,2|3D4)4D,a3P4p_y4D2*,0.0925
26179.2200,2|3D4)4D,a3P4p_y4D2*,0.0135
28347.2300,1|2G5),a3P4p_y4D2*,0.0025
28841.3100,2|3F4)2F,a3P4p_y4D2*,0.0322
28879.6100,2|3F4)2F,a3P4p_y4D2*,0.0329
29092.9200,2|3P4)2P,a3P4p_y4D2*,0.1694
30927.7000,2|3G4)4G,a3P4p_y4D2*,0.2248
31030.8200,2|3G4)4G,a3P4p_y4D2*,0.0469
31593.8600,1|4F3),a3P4p_y4D2*,0.9179
31604.0500,1|4F3),a3P4p_y4D2*,0.0587
31612.1300,1|4F3),a3P4p_y4D2*,4.7449
31845.4100,1|2F3),a3P4p_y4D2*,0.0857
32093.1300,1|2F3),a3P4p_y4D2*,0.0254
32917.5700,1|2D5),a3P4p_y4D2*,0.0619
33097.9100,1|2D5),a3P4p_y4D2*,0.0046
33280.2300,2|3F4)4F,a3P4p_y4D2*,22.6089
33331.4200,2|3F4)4F,a3P4p_y4D2*,4.0223
33365.8700,2|3F4)4F,a3P4p_y4D2*,0.1411
33584.3500,2|3P4)4P,a3P4p_y4D2*,39.6983
34141.3700,2|3P4)4P,a3P4p_y4D2*,124.7727
34292.0200,2|3H4)4H,a3P4p_y4D2*,0.0203
39402.0500,1|4D5),a3P4p_y4D2*,0.4147
39406.0000,1|4D5),a3P4p_y4D2*,0.7354
39415.1100,1|4D5),a3P4p_y4D2*,0.7019
42624.7000,1|4P3),a3P4p_y4D2*,28.1501
42626.2900,1|4P3),a3P4p_y4D2*,15.6918
43930.9800,1|4G5),a3P4p_y4D2*,0.0145
43936.7500,1|4G5),a3P4p_y4D2*,0.0038
44424.8000,2|5D4)4D,a3P4p_y4D2*,0.0419
44650.9300,2|5D4)4D,a3P4p_y4D2*,0.4582
44817.6400,2|5D4)4D,a3P4p_y4D2*,0.5150
52144.9500,2|5D4)6D,a3P4p_y4D2*,0.0007
52300.9900,2|5D4)6D,a3P4p_y4D2*,0.0004
52416.2300,2|5D4)6D,a3P4p_y4D2*,0.0037
64448.8100,1|6S5),a3P4p_y4D2*,0.0032
2235.5700,2|1G2)2G,a3P4p_y4D3*,0.0000
5346.8600,2|3F2)2F,a3P4p_y4D3*,0.0000
5354.4200,2|3F2)2F,a3P4p_y4D3*,0.0000
9901.4200,2|3P2)4P,a3P4p_y4D3*,0.0027
10036.5500,2|3F2)4F,a3P4p_y4D3*,0.0051
10040.9800,2|3F2)4F,a3P4p_y4D3*,0.0003
10056.9100,2|3F2)4F,a3P4p_y4D3*,0.0346
11001.5100,3|4F3)4F,a3P4p_y4D3*,0.0040
11358.2400,3|4F3)4F,a3P4p_y4D3*,0.0003
12603.5100,1|2G3),a3P4p_y4D3*,0.0000
12626.7100,1|2G3),a3P4p_y4D3*,0.0001
14236.9000,2|1F4)2F,a3P4p_y4D3*,0.0000
17570.0800,1|2D3),a3P4p_y4D3*,0.0001
19193.9400,2|1D4)2D,a3P4p_y4D3*,0.0021
22026.5300,2|3D4)2D,a3P4p_y4D3*,0.0119
25047.4500,1|2F5),a3P4p_y4D3*,0.0029
25100.1400,2|1G4)2G,a3P4p_y4D3*,0.0098
26361.5100,2|3G4)2G,a3P4p_y4D3*,0.0233
26415.5900,2|3G4)2G,a3P4p_y4D3*,0.0090
26609.6600,2|3D4)4D,a3P4p_y4D3*,0.0368
26654.9300,2|3D4)4D,a3P4p_y4D3*,0.1966
28651.9800,1|2G5),a3P4p_y4D3*,0.0084
28822.9400,1|2G5),a3P4p_y4D3*,0.0090
29314.1700,1|2H3),a3P4p_y4D3*,0.0218
29317.0200,2|3F4)2F,a3P4p_y4D3*,0.1285
29355.3200,2|3F4)2F,a3P4p_y4D3*,0.0786
