30283.256    39824.36   70107.62      a1G4s_c2G4 -     a3F4p_y2G4        17
30336.3624   33694.14   64030.50      3G4s__b4G5 -     3H4p__z4H6       230
30340.84     47372.43   77713.27      d5____d2D1 -     a1S4p_x2P1         6
30346.63     94177.16  124523.79     5D5p___6D4  -      5D9s___6D4        8
30370.0936   34659.24   65029.33      3P4s__a2P0 -     a3P4p_z2S0       190
30404.576    34812.93   65217.51      3H4s__a2H5 -     3H4p__z4I4        13
30423.903    39683.72   70107.62      a1G4s_c2G3 -     a3F4p_y2G4        26
30450.797    40228.29   70679.09      1I4s__b2I5 -     3G4p__x4G4        27
30517.110    39877.03   70394.15      d5____c2F3 -     3G4p__y2H4        10
30545.30     50687.62   81232.88      1F4s__d2F2 -     a1D4p_v2F2         6
30551.98     74114.36  104666.35     a1G4p_x2F3  -      3G5s__g2G4        6
30570.9775   34812.93   65383.90      3H4s__a2H5 -     a3F4p_z4G4       170
30574.436    39824.36   70398.80      a1G4s_c2G4 -     3G4p__y2H5        37
30580.835    47354.37   77935.20      d5____d2D2 -     3D4p__x2D2        45
30586.589    34630.92   65217.51      3H4s__a2H4 -     3H4p__z4I4         8
30607.38     38563.00   69170.35      3G4s__b2G4 -     3G4p__y4H5         8
30625.9347   34630.92   65256.85      3H4s__a2H4 -     a3F4p_z4G3        84
30677.617    40202.11   70879.72      1I4s__b2I6 -     3G4p__x4G5       40 
30677.617    44307.08   74984.70      d5____b2S0 -     3D4p__y2P1       40 
30703.09     74421.73  105124.84     1I4p___2I5  -      3H4d__a2K6        8
30710.425    39683.72   70394.15      a1G4s_c2G3 -     3G4p__y2H4        11
30719.08     76878.97  107598.07     3D4p__w2F3  -              -         6
30737.035    47372.43   78109.47      d5____d2D1 -     3D4p__x2D1        23
30752.991    34630.92   65383.90      3H4s__a2H4 -     a3F4p_z4G4         9
30764.980    50667.22   81432.22      1F4s__d2F3 -     a1D4p_v2F3        15
30849.549    70426.99  101276.55     3G4p__x4G3  -      a3F5s_f4F2        8
30854.74     39824.36   70679.09      a1G4s_c2G4 -     3G4p__x4G4         6
30861.28     74424.15  105285.42     1I4p___2K6  -      3H4d__a2K7        9
30867.0828   34812.93   65680.01      3H4s__a2H5 -     3H4p__z2G4       270
30880.407    93643.38  124523.79     5D5p___6F5  -      5D9s___6D4       10
30911.9829   34630.92   65542.90      3H4s__a2H4 -     3H4p__z2G3       360
30933.921    69388.15  100322.07     3G4p__y4H6  -      3H5s__e4H6       24
30994.441    32854.25   63848.70      d5____b4F4 -     3H4p__z4H5         8
30995.375    39683.72   70679.09      a1G4s_c2G3 -     3G4p__x4G4        27
31028.680    74421.73  105450.41     1I4p___2I5  -              -         6
31049.090    34630.92   65680.01      3H4s__a2H4 -     3H4p__z2G4        20
31051.243    69170.35  100221.59     3G4p__y4H5  -      3H5s__e4H5       14
31055.361    39824.36   70879.72      a1G4s_c2G4 -     3G4p__x4G5        54
31072.0369   20512.06   51584.10      d5____a4G2 -     5D4p__z4F1      1000
31080.2078   35569.18   66649.39      3F4s__b2F2 -     a3P4p_z2P1       170
31087.157    70107.62  101194.78     a3F4p_y2G4  -      3H5s__e2H5       29
31115.514    38362.38   69477.90      3D4s__c4D1 -     3G4p___4f2        30
31118.317    69903.48  101021.80     a3F4p_y2G3  -      3H5s__e2H4       26
31119.274    35607.51   66726.78      3F4s__b2F3 -     a3P4p_y4P2        48
31129.141    59577.69   90706.82      3F4s__e2F2 -     b3F4p_t2F2        41
31143.423    68992.35  100135.78     3G4p__y4H4  -      3H5s__e4H4       14
31144.232    69638.59  100782.82     3G4p___4f1  -      a3P5s_e2P0       15
31151.6139   20517.79   51669.41      d5____a4G3 -     5D4p__z4F2     1300c
31157.3429   20512.06   51669.41      d5____a4G2 -     5D4p__z4F2      180c
31163.061    38314.83   69477.90      3D4s__c4D2 -     3G4p___4f2        11
31191.235    38314.83   69506.07      3D4s__c4D2 -     3G4p___4f3        43
31206.746    32854.94   64061.69      d5____b4F2 -     a3P4p_y4D1        13
31216.414    42897.96   74114.36      3D4s__b2D2 -     a1G4p_x2F3        11
31225.579    68843.27  100068.86     3G4p__y4H3  -      3H5s__e4H3       12
31228.641    38269.57   69498.21      3D4s__c4D3 -     3G4p___4f4        47
31236.498    38269.57   69506.07      3D4s__c4D3 -     3G4p___4f3        11
31242.410    38396.19   69638.59      3D4s__c4D0 -     3G4p___4f1        12
31260.640    59570.15   90830.79      3F4s__e2F3 -     b3F4p_t2F3        55
31269.5445   20519.27   51788.81      d5____a4G4 -     5D4p__z4F3      1700
31271.0222   20517.79   51788.81      d5____a4G3 -     5D4p__z4F3       220
31293.499    35355.90   66649.39      3P4s__a2P1 -     a3P4p_z2P1        18
31297.75     51942.66   83240.42     5D4p__z4F4  -      5D5s__e6D4        9
31302.142    78109.47  109411.61     3D4p__x2D1  -              -        27
31332.252    42986.60   74318.84      3D4s__b2D1 -     3D4p__w4F2         7
31340.481    38563.00   69903.48      3G4s__b2G4 -     a3F4p_y2G3         9
31370.889    35355.90   66726.78      3P4s__a2P1 -     a3P4p_y4P2        32
31390.992    70852.16  102243.15     3G4p__y2F3  -      a3F5s_f2F3       19
31394.561    38508.92   69903.48      3G4s__b2G3 -     a3F4p_y2G3        31
